ID	CLPA	PBASE	TYPE	PLACE	MANNER	VOICE	MODIFICATIONS
890	õ̤	õ̤	vowel	back_rounded	higher_mid	nasalized	breathy
891	õ̤ˀ	õ̤ʔ	vowel	back_rounded	higher_mid	glottalized_nasalized	breathy
892	oˀ	oʔ	vowel	back_rounded	higher_mid	glottalized	plain
893	oʔo	oʔo	vowel	back_rounded	higher_mid	interrupted	plain
894	õˤ	õˤ	vowel	back_rounded	higher_mid	pharyngealized_nasalized	plain
895	o̤ː	o̤ː	vowel	back_rounded	higher_mid	plain	breathy_long
896	o̯u	o̯u	diphtong	back_rounded	higher_mid_glide_to_high	plain	plain
897	ou	ou	diphtong	back_rounded	higher_mid_to_high	plain	plain
898	oʊ	oʊ	diphtong	back_rounded	higher_mid_to_lower_high	plain	plain
899	ɒ	ɒ	vowel	back_rounded	low	plain	plain
900	ɒː	ɒː	vowel	back_rounded	low	plain	long
901	ɒ̃		vowel	back_rounded	low	nasalized	plain
902	ʊ̥	ʊ̥	vowel	back_rounded	lower_high	plain	voiceless
903	ʊ	ʊ	vowel	back_rounded	lower_high	plain	plain
904	ʊ̃	ʊ̃	vowel	back_rounded	lower_high	nasalized	plain
905	ʊ̃ː	ʊ̃ː	vowel	back_rounded	lower_high	nasalized	long
906	ʊ̘	ʊ̘	vowel	back_rounded	lower_high	ATR	plain
907	ṳ̃	ṳ̃	vowel	back_rounded	lower_high	nasalized	breathy
908	ʊː	ʊː	vowel	back_rounded	lower_high	plain	long
909	ʊɔ	ʊɔ	diphtong	back_rounded	lower_high_to_lower_mid	plain	plain
910	ɔ̤ː		vowel	back_rounded	lower_mid	plain	long_breathy
911	ɔ̤		vowel	back_rounded	lower_mid	plain	breathy
912	ɔˀ	ɔʔ	vowel	back_rounded	lower_mid	glottalized	plain
913	ɔː	ɔː	vowel	back_rounded	lower_mid	plain	long
914	ɔ̃	ɔ̃	vowel	back_rounded	lower_mid	nasalized	plain
915	ɔ	ɔ	vowel	back_rounded	lower_mid	plain	plain
916	ɔ̃ˀ	ɔ̃ʔ	vowel	back_rounded	lower_mid	glottalized_nasalized	plain
917	ɔ̥	ɔ̥	vowel	back_rounded	lower_mid	plain	voiceless
918	ɔ̘	ɔ̘	vowel	back_rounded	lower_mid	ATR	plain
919	ɔ̰		vowel	back_rounded	lower_mid	plain	creaky
920	ɔ̃ː	ɔ̃ː	vowel	back_rounded	lower_mid	nasalized	long
921	ɔu		diphtong	back_rounded	lower_mid_to_high	plain	plain
922	u̝ː	u̝ː	vowel	back_rounded	raised_high	plain	long
923	u̝	u̝	vowel	back_rounded	raised_high	plain	plain
924	õ̝	õ̝	vowel	back_rounded	raised_higher_mid	nasalized	plain
925	o̝ː	o̝ː	vowel	back_rounded	raised_higher_mid	plain	long
926	o̝	o̝	vowel	back_rounded	raised_higher_mid	plain	plain
927	ɔ̝ː	ɔ̝ː	vowel	back_rounded	raised_lower_mid	plain	long
928	ɔ̝	ɔ̝	vowel	back_rounded	raised_lower_mid	plain	plain
929	ua	ua	diphtong	back_rounded_to_central_unrounded	high_to_low	plain	plain
930	uə	uə	diphtong	back_rounded_to_central_unrounded	high_to_mid	plain	plain
931	o̯a	o̯a	diphtong	back_rounded_to_central_unrounded	higher_mid_glide_to_low	plain	plain
932	oə	oə	diphtong	back_rounded_to_central_unrounded	higher_mid_to_mid	plain	plain
933	əo	əo	diphtong	back_rounded_to_central_unrounded	mid_to_higher_mid	plain	plain
934	oi	oi	diphtong	back_rounded_to_front	higher_mid_to_high	plain	plain
935	ui	ui	diphtong	back_rounded_to_front_unrounded	high	plain	plain
936	ʊʏ̯	ʊʏ̯	diphtong	back_rounded_to_front_unrounded	lower_high_to_high_glide	plain	plain
937	ɔi	ɔi	diphtong	back_rounded_to_front_unrounded	lower_mid_to_high	plain	plain
938	ɔi̯	ɔi̯	diphtong	back_rounded_to_front_unrounded	lower_mid_to_high_glide	plain	plain
939	uw	uw	diphtong	back_rounded_to_labiovelar	high_to_glide	plain	plain
940	oj	oj	diphtong	back_rounded_to_palatal	higher_mid_to_glide	plain	plain
941	ɔj	ɔj	diphtong	back_rounded_to_palatal	lower_mid_to_glide	plain	plain
942	ɯ̃	ɯ̃	vowel	back_unrounded	high	nasalized	plain
943	ɯ	ɯ	vowel	back_unrounded	high	plain	plain
944	ɿ		vowel	back_unrounded	high	with_frication	plain
945	ɯː	ɯː	vowel	back_unrounded	high	plain	long
946	ɤ	ɤ	vowel	back_unrounded	higher_mid	plain	plain
947	ɤ̃		vowel	back_unrounded	higher_mid	nasalized	plain
948	ɤː	ɤː	vowel	back_unrounded	higher_mid	plain	long
949	ɑ̃ː		vowel	back_unrounded	low	nasalized	long
950	ɑ̃	ɑ̃	vowel	back_unrounded	low	nasalized	plain
951	ɑ	ɑ	vowel	back_unrounded	low	plain	plain
952	ɑ̤ː		vowel	back_unrounded	low	plain	breathy_long
953	ɑː	ɑː	vowel	back_unrounded	low	plain	long
954	ʌ̆	ʌ̆	vowel	back_unrounded	lower_mid	plain	extra_short
955	ʌː	ʌː	vowel	back_unrounded	lower_mid	plain	long
956	ʌ̃	ʌ̃	vowel	back_unrounded	lower_mid	nasalized	plain
957	ʌ̃ː	ʌ̃ː	vowel	back_unrounded	lower_mid	nasalized	long
958	ʌ̤	ʌ̤	vowel	back_unrounded	lower_mid	plain	breathy
959	ʌ	ʌ	vowel	back_unrounded	lower_mid	plain	plain
960	ʌ̤ː	ʌ̤ː	vowel	back_unrounded	lower_mid	plain	breathy_long
961	ʌ̝	ʌ̝	vowel	back_unrounded	raised_lower_mid	plain	plain
962	ɑu		diphtong	back_unrounded_to_back_rounded	low_to_high	plain	plain
963	ɯə	ɯə	diphtong	back_unrounded_to_central	high_to_mid	plain	plain
964	uj	uj	diphtong	back_unrounded_to_palatal	high_to_glide	plain	plain
965	ʉː		vowel	central_rounded	high	plain	long
966	ʯ		vowel	central_rounded	high	with_frication	plain
967	ʉ	ʉ	vowel	central_rounded	high	plain	plain
968	ʉ̃ⁿ	ʉ̃ⁿ	vowel	central_rounded	high	postnasalized	plain
969	ɵ	ɵ	vowel	central_rounded	higher_mid	plain	plain
970	ɵː		vowel	central_rounded	higher_mid	plain	long
971	ɞ	ʚ	vowel	central_rounded	lower_mid	plain	plain
971	ɞ	ʚ	vowel	central_rounded	lower_mid	plain	plain
973	ɨ̤ː		vowel	central_unrounded	high	plain	breathy_long
974	ɨ˞	ɨ˞	vowel	central_unrounded	high	retroflex	plain
975	ɨː	ɨː	vowel	central_unrounded	high	plain	long
976	ʅ		vowel	central_unrounded	high	with_frication	plain
977	ɨ̃	ɨ̃	vowel	central_unrounded	high	nasalized	plain
978	ɨ̃ʔɨ̃	ɨ̃ʔɨ̃	vowel	central_unrounded	high	interrupted_nasalized	plain
979	ɨ̃ː	ɨ̃ː	vowel	central_unrounded	high	nasalized	long
980	ɨʔɨ	ɨʔɨ	vowel	central_unrounded	high	interrupted	plain
981	ɨ̤		vowel	central_unrounded	high	plain	breathy
982	ɨ	ɨ	vowel	central_unrounded	high	plain	plain
983	ɨːː	ɨːː	vowel	central_unrounded	high	plain	extra_long
984	ɐ̯		vowel	central_unrounded	higher_low	plain	consonantal
985	ɐ	ɐ	vowel	central_unrounded	higher_low	plain	plain
986	ɐ̃		vowel	central_unrounded	higher_low	nasalized	plain
987	ɐː	ɐː	vowel	central_unrounded	higher_low	plain	long
988	ɘ	ɘ	vowel	central_unrounded	higher_mid	plain	plain
989	ãˀ	ãʔ	vowel	central_unrounded	low	glottalized_nasalized	plain
990	aʔa	aʔa	vowel	central_unrounded	low	interrupted	plain
991	ãː	ãː	vowel	central_unrounded	low	nasalized	long
992	ă	ă	vowel	central_unrounded	low	plain	extra_short
993	aˀ	aʔ	vowel	central_unrounded	low	glottalized	plain
994	a̰	a̰	vowel	central_unrounded	low	plain	creaky
995	ãˤ	ãˤ	vowel	central_unrounded	low	pharyngealized_nasalized	plain
996	a	a	vowel	central_unrounded	low	plain	plain
997	a̤	a̤	vowel	central_unrounded	low	plain	breathy
998	ãʔã	ãʔã	vowel	central_unrounded	low	interrupted_nasalized	plain
999	a̰ː	a̰ː	vowel	central_unrounded	low	plain	creaky_long
1000	a̤ː		vowel	central_unrounded	low	plain	breathy_long
1001	ã̤ˀ	ã̤ʔ	vowel	central_unrounded	low	glottalized_nasalized	breathy
1002	ḁ	ḁ	vowel	central_unrounded	low	plain	voiceless
1003	aː	aː	vowel	central_unrounded	low	plain	long
1004	a̤ˤ	a̤ˤ	vowel	central_unrounded	low	pharyngealized	breathy
1005	ã̤	ã̤	vowel	central_unrounded	low	nasalized	breathy
1006	aˤˀ	aˤʔ	vowel	central_unrounded	low	pharyngealized_glottalized	plain
1007	aːː	aːː	vowel	central_unrounded	low	plain	extra_long
1008	a̠	a̠	vowel	central_unrounded	low	ATR	plain
1009	ãⁿ	ãⁿ	vowel	central_unrounded	low	postnasalized	plain
1010	ã̤ˤ	ã̤ˤ	vowel	central_unrounded	low	pharyngealized_nasalized	breathy
1011	aˤ	aˤ	vowel	central_unrounded	low	pharyngealized	plain
1012	a̤ˀ	a̤ʔ	vowel	central_unrounded	low	glottalized	breathy
1013	ã	ã	vowel	central_unrounded	low	nasalized	plain
1014	ɨ̞	ɨ̞	vowel	central_unrounded	lower_high	plain	plain
1015	ɜ	ɜ	vowel	central_unrounded	lower_mid	plain	plain
1016	ɜː	ɜː	vowel	central_unrounded	lower_mid	plain	long
1017	a̞	a̞	vowel	central_unrounded	lowered_low	plain	plain
1018	ə̠		vowel	central_unrounded	mid	retracted	plain
1019	ə̃	ə̃	vowel	central_unrounded	mid	nasalized	plain
1020	ə̃ː	ə̃ː	vowel	central_unrounded	mid	nasalized	long
1021	ə	ə	vowel	central_unrounded	mid	plain	plain
1022	əˤ	əˤ	vowel	central_unrounded	mid	pharyngealized	plain
1023	ə̃˞		vowel	central_unrounded	mid	retroflex_nasalized	plain
1024	ə̤		vowel	central_unrounded	mid	plain	breathy
1025	ə˞	ə˞	vowel	central_unrounded	mid	retroflex	plain
1026	ə̤ː		vowel	central_unrounded	mid	plain	breathy_long
1027	ə̆	ə̆	vowel	central_unrounded	mid	plain	extra_short
1028	a̝	a̝	vowel	central_unrounded	raised_low	plain	plain
1028	a̝	a̝	vowel	central_unrounded	raised_low	plain	plain
1030	a̝ː	a̝ː,a̪ː	vowel	central_unrounded	raised_low	plain	long
1031	ə̝	ə̝	vowel	central_unrounded	raised_mid	plain	plain
1032	au	au	diphtong	central_unrounded_to_back_rounded	low_to_high	plain	plain
1033	ao	ao	diphtong	central_unrounded_to_back_rounded	low_to_higher_mid	plain	plain
1034	aʊ	aʊ	diphtong	central_unrounded_to_back_rounded	low_to_lower_high	plain	plain
1035	əu	əu	diphtong	central_unrounded_to_back_rounded	mid_to_high	plain	plain
1036	ai	ai	diphtong	central_unrounded_to_front	low_to_high	plain	plain
1037	ai̯	ai̯	diphtong	central_unrounded_to_front	low_to_high_glide	plain	plain
1038	aɪ	aɪ	diphtong	central_unrounded_to_front	low_to_lower_high	plain	plain
1039	ɛi̯	ɛi̯	diphtong	central_unrounded_to_front	lower_mid_to_high_glide	plain	plain
1040	ə̯i	ə̯i	diphtong	central_unrounded_to_front	mid_glide_to_high	plain	plain
1041	əi	əi	diphtong	central_unrounded_to_front	mid_to_high	plain	plain
1042	əe	əe	diphtong	central_unrounded_to_front	mid_to_higher_mid	plain	plain
1043	aj	aj	diphtong	central_unrounded_to_palatal	low_to_glide	plain	plain
1044	aʉ	aʉ	diphtong	central_unrounded_to_rounded	low_to_high	plain	plain
1045	ỹ	ỹ	vowel	front_rounded	high	nasalized	plain
1046	y	y	vowel	front_rounded	high	plain	plain
1047	ỹː		vowel	front_rounded	high	nasalized	long
1048	yː	yː	vowel	front_rounded	high	plain	long
1049	øː	øː	vowel	front_rounded	higher_mid	plain	long
1050	ø̆	ø̆	vowel	front_rounded	higher_mid	plain	extra_short
1051	ø	ø	vowel	front_rounded	higher_mid	plain	plain
1052	ɶː		vowel	front_rounded	low	plain	long
1053	ʏ	ʏ	vowel	front_rounded	lower_high	plain	plain
1054	ʏː		vowel	front_rounded	lower_high	plain	long
1055	œ̃	œ̃	vowel	front_rounded	lower_mid	nasalized	plain
1056	œː	œː	vowel	front_rounded	lower_mid	plain	long
1057	œ̃ː		vowel	front_rounded	lower_mid	nasalized	long
1058	œ	œ	vowel	front_rounded	lower_mid	plain	plain
1059	œu	œu	diphtong	front_rounded_to_back	lower_mid_to_high	plain	plain
1060	øə	øə	diphtong	front_rounded_to_central_unrounded	higher_mid_to_mid	plain	plain
1061	yi	yi	diphtong	front_rounded_to_unrounded	high	plain	plain
1062	œi	œi	diphtong	front_rounded_to_unrounded	lower_mid_to_high	plain	plain
1063	i̺	i̺	vowel	front_unrounded	high	apical	plain
1064	iːː	iːː	vowel	front_unrounded	high	plain	extra_long
1065	ĩː	ĩː	vowel	front_unrounded	high	nasalized	long
1066	iˤ	iˤ	vowel	front_unrounded	high	pharyngealized	plain
1067	iː	iː	vowel	front_unrounded	high	plain	long
1068	i̤ː	i̤ː	vowel	front_unrounded	high	plain	breathy_long
1069	i̞	i̞	vowel	front_unrounded	high	RTR	plain
1070	ĩʔĩ	ĩʔĩ	vowel	front_unrounded	high	interrupted_nasalized	plain
1071	i̤		vowel	front_unrounded	high	nasalized	breathy
1072	i̥	i̥	vowel	front_unrounded	high	plain	voiceless
1073	iʔi	iʔi	vowel	front_unrounded	high	interrupted	plain
1074	iˀ	iʔ	vowel	front_unrounded	high	glottalized	plain
1075	i	i	vowel	front_unrounded	high	plain	plain
1076	ḭː	ḭː	vowel	front_unrounded	high	plain	creaky_long
1077	ĩ	ĩ	vowel	front_unrounded	high	nasalized	plain
1078	ḭ	ḭ	vowel	front_unrounded	high	plain	creaky
1079	ĩˀ	ĩʔ	vowel	front_unrounded	high	glottalized_nasalized	plain
1080	ĩ̤	i̤	vowel	front_unrounded	high	plain	breathy
1081	i̯e	i̯e	diphtong	front_unrounded	high_glide_to_higher_mid	plain	plain
1082	ie	ie	diphtong	front_unrounded	high_to_higher_mid	plain	plain
1083	i̤e̤	i̤e̤	diphtong	front_unrounded	high_to_higher_mid	plain	breathy
1084	iɛ	iɛ	diphtong	front_unrounded	high_to_lower_mid	plain	plain
1085	æ̃	æ̃	vowel	front_unrounded	higher_low	nasalized	plain
1086	æ	æ	vowel	front_unrounded	higher_low	plain	plain
1087	æː	æː	vowel	front_unrounded	higher_low	plain	long
1088	e	e	vowel	front_unrounded	higher_mid	plain	plain
1089	ẽ	ẽ	vowel	front_unrounded	higher_mid	nasalized	plain
1090	eː	eː	vowel	front_unrounded	higher_mid	plain	long
1091	e̥	e̥	vowel	front_unrounded	higher_mid	plain	voiceless
1092	ḛ		vowel	front_unrounded	higher_mid	plain	creaky
1093	eˀ	eʔ	vowel	front_unrounded	higher_mid	glottalized	plain
1094	emf	emf	vowel	front_unrounded	higher_mid	muffled	plain
1095	ẽː	ẽː	vowel	front_unrounded	higher_mid	nasalized	long
1096	eːː	eːː	vowel	front_unrounded	higher_mid	plain	extra_long
1097	ẽʔẽ	ẽʔẽ	vowel	front_unrounded	higher_mid	interrupted_nasalized	plain
1098	ẽ̤ː		vowel	front_unrounded	higher_mid	nasalized	breathy_long
1099	e̤	e̤	vowel	front_unrounded	higher_mid	plain	breathy
1100	eʔe	eʔe	vowel	front_unrounded	higher_mid	interrupted	plain
1101	ẽ̤	ẽ̤	vowel	front_unrounded	higher_mid	nasalized	breathy
1102	eˤ	eˤ	vowel	front_unrounded	higher_mid	pharyngealized	plain
1103	ẽⁿ	ẽⁿ	vowel	front_unrounded	higher_mid	postnasalized	plain
1104	e̤ː	e̤ː	vowel	front_unrounded	higher_mid	plain	breathy_long
1105	e̞	e̞	vowel	front_unrounded	higher_mid	RTR	plain
1106	ei	ei	diphtong	front_unrounded	higher_mid_to_high	plain	plain
1107	eɪ	eɪ	diphtong	front_unrounded	higher_mid_to_lower_high	plain	plain
1108	ɪ̃	ɪ̃	vowel	front_unrounded	lower_high	nasalized	plain
1109	ɪ	ɪ	vowel	front_unrounded	lower_high	plain	plain
1110	ɪ̥	ɪ̥	vowel	front_unrounded	lower_high	plain	voiceless
1111	ɪː	ɪː	vowel	front_unrounded	lower_high	plain	long
1112	ɪ̃ː	ɪ̃ː	vowel	front_unrounded	lower_high	nasalized	long
1113	ɪ̘	ɪ̘	vowel	front_unrounded	lower_high	ATR	plain
1114	ɪɛ	ɪɛ	diphtong	front_unrounded	lower_high_to_lower_mid	plain	plain
1115	ɛ̤		vowel	front_unrounded	lower_mid	plain	breathy
1116	ɛː	ɛː	vowel	front_unrounded	lower_mid	plain	long
1117	ɛ̃ː	ɛ̃ː	vowel	front_unrounded	lower_mid	nasalized	long
1118	ɛ̘	ɛ̘	vowel	front_unrounded	lower_mid	ATR	plain
1119	ɛˀ	ɛʔ	vowel	front_unrounded	lower_mid	glottalized	plain
1120	ɛ	ɛ	vowel	front_unrounded	lower_mid	plain	plain
1121	ɛ̃ˀ	ɛ̃ʔ	vowel	front_unrounded	lower_mid	glottalized_nasalized	plain
1122	ɛ̃	ɛ̃	vowel	front_unrounded	lower_mid	nasalized	plain
1123	ɛ̰		vowel	front_unrounded	lower_mid	plain	creaky
1124	ɛ̥	ɛ̥	vowel	front_unrounded	lower_mid	plain	voiceless
1125	æ̞	æ̞	vowel	front_unrounded	lowered_higher_low	plain	plain
1126	ɛ̞	ɛ̞	vowel	front_unrounded	lowered_lower_mid	plain	plain
1127	i̝	i̝	vowel	front_unrounded	raised_high	plain	plain
1128	i̝ː	i̝ː	vowel	front_unrounded	raised_high	plain	long
1129	e̝ː	e̝ː	vowel	front_unrounded	raised_higher_mid	plain	long
1130	ẽ̝	ẽ̝	vowel	front_unrounded	raised_higher_mid	nasalized	plain
1131	e̝	e̝	vowel	front_unrounded	raised_higher_mid	plain	plain
1132	i̯o	i̯o	diphtong	front_unrounded_to_back_rounded	high_glide_to_higher_mid	plain	plain
1133	e̯o	e̯o	diphtong	front_unrounded_to_back_rounded	higher_mid_glide_to_higher_mid	plain	plain
1134	eu	eu	diphtong	front_unrounded_to_back_rounded	higher_mid_to_high	plain	plain
1134	eu	eu	diphtong	front_unrounded_to_back_rounded	higher_mid_to_high	plain	plain
1136	ɛu		diphtong	front_unrounded_to_back_rounded	lower_mid_to_high	plain	plain
1137	ia	ia	diphtong	front_unrounded_to_central	high_to_low	plain	plain
1138	iə	iə	diphtong	front_unrounded_to_central	high_to_mid	plain	plain
1139	e̯a	e̯a	diphtong	front_unrounded_to_central	higher_mid_glide_to_low	plain	plain
1140	eə	eə	diphtong	front_unrounded_to_central	higher_mid_to_mid	plain	plain
1141	æɨ		diphtong	front_unrounded_to_central	higher_low_to_high	plain	plain
1142	ɛi		diphtong	front_unrounded	lower_mid_to_high	plain	plain
1143	ij	ij	diphtong	front_unrounded_to_palatal	high_to_glide	plain	plain
1144	ej	ej	diphtong	front_unrounded_to_palatal	higher_mid_to_glide	plain	plain
1145	je	je	diphtong	palatal_to_front_unrounded	glide_to_higher_mid	plain	plain
1146	jeː	jeː	diphtong	palatal_to_front_unrounded	glide_to_higher_mid	plain	long
1147	jẽ	jẽ	diphtong	palatal_to_front_unrounded	glide_to_higher_mid	nasalized	plain
1148	²		tone	flat	low		
1149	²²		tone	flat	low	low	
1150	²³		tone	rise	low	mid	
1151	²¹		tone	fall	low	low	
1152	²¹²		tone	fall-rise	low	low	low
1153	²¹³		tone	fall-rise	low	low	mid
1154	²¹⁴		tone	fall-rise	low	low	high
1155	²⁴		tone	rise	low	high	
1156	²⁴²		tone	rise-fall	low	high	low
1157	³		tone	flat	mid		
1158	³²		tone	fall	mid	low	
1159	³²⁴		tone	fall-rise	mid	low	high
1160	³³		tone	flat	mid	mid	
1161	³¹		tone	fall	mid	low	
1162	³¹³		tone	fall-rise	mid	low	mid
1163	³⁴		tone	rise	mid	high	
1164	³⁵		tone	rise	mid	high	
1165	¹		tone	flat	low		
1166	¹²		tone	rise	low	low	
1167	¹³		tone	rise	low	mid	
1168	¹¹		tone	flat	low	low	
1169	¹⁵		tone	rise	low	high	
1170	⁰		tone	zero			
1171	⁰²		tone	rise	low	low	
1172	⁰⁴		tone	rise	low	high	
1173	⁴		tone	flat	high		
1174	⁴²		tone	fall	high	low	
1175	⁴³		tone	fall	high	mid	
1176	⁴¹		tone	fall	high	low	
1177	⁴⁴		tone	flat	high	high	
1178	⁴⁴³		tone	fall	high	mid	
1179	⁴⁴⁵		tone	rise	high	high	
1180	⁴⁵		tone	rise	high	high	
1181	⁴⁵⁴		tone	rise-fall	high	high	high
1182	⁵		tone	flat	high		
1183	⁵²		tone	fall	high	low	
1184	⁵³		tone	fall	high	mid	
1185	⁵¹		tone	fall	high	low	
1186	⁵¹³		tone	fall-rise	high	low	mid
1187	⁵⁴		tone	fall	high	high	
1188	⁵⁵		tone	flat	high	high	
1189	_		marker	word_boundary			
1190	∼		marker	nasal_vowel			
1191	+		marker	morpheme_boundary			
1192	ɶ	ɶ	vowel	front_rounded	low	plain	plain
1193	ʰc		consonant	palatal	stop	voiceless	preaspirated
1194	ʰt		consonant	alveolar	stop	voiceless	preaspirated
1195	ʰk		consonant	velar	stop	voiceless	preaspirated
1196	ø̰		vowel	front_rounded	higher_mid	plain	creaky
1197	øˀ		vowel	front_rounded	higher_mid	plain	glottalized
1198	yˀ		vowel	front_rounded	high	plain	glottalized
1199	æˀ		vowel	front_unrounded	higher_low	plain	glottalized
1200	œˀ		vowel	front_rounded	lower_mid	plain	glottalized
1201	ɑˀ		vowel	back_unrounded	low	plain	glottalized
1202	ɶˀ		vowel	front_rounded	low	plain	glottalized
1203	ɒˀ		vowel	back_rounded	low	plain	glottalized
1204	ʁˀ		consonant	uvular	fricative	voiced	glottalized
1205	ðˀ		consonant	interdental	fricative	voiced	glottalized
